symbol,name,n_mps,agg_current_value,stock_return_pct
FLUOROCHEM,Gujarat Fluorochemicals Limited,1,21975261,22.8
FLAIR,Flair Writing Industries Limited,1,196668,-2.3
AHLUCONT,Ahluwalia Contracts (India) Limited,1,746970,-36.6
SHAHALLOYS,Shah Alloys Limited,1,360766,21.5
BBTC,The Bombay Burmah Trading Corporation Limited,1,3999197,3.1
GPIL,Godawari Power And Ispat limited,1,2753601,67.7
MAXESTATES,Max Estates Limited,1,35184,17.5
AGI,AGI Greenpac Limited,1,536011,-11.1
HPL,HPL Electric & Power Limited,1,19917,-9.1
ARVSMART,Arvind SmartSpaces Limited,1,213093,-0.2
WALCHANNAG,Walchandnagar Industries Limited,1,745714,3.1
PREMIER,Premier Limited,1,300,-15.5
NAVINFLUOR,Navin Fluorine International Limited,1,484406,113.3
ORIENTCER,ORIENT CERATECH LIMITED,1,178750,-11.1
ROLEXRINGS,Rolex Rings Limited,1,17427,-40.6
BAJAJELEC,Bajaj Electricals Limited,1,521950,-63.7
ELGIRUBCO,Elgi Rubber Company Limited,1,105035,-39.9
GRWRHITECH,Garware Hi-Tech Films Limited,1,236905,244.3
BHARTIHEXA,Bharti Hexacom Limited,1,465363,58.6
KECL,Kirloskar Electric Company Limited,1,8989,-35.8
BAJEL,Bajel Projects Limited,1,230142,-28.6
CUMMINSIND,Cummins India Limited,1,6133034,44.0
WELENT,Welspun Enterprises Limited,1,660759,15.5
INDIANCARD,Indian Card Clothing Company Limited,1,6228,-21.5
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,1,232507,-32.5
ESSARSHPNG,Essar Shipping Limited,1,2584,-20.2
OLECTRA,Olectra Greentech Limited,1,10266537,-32.0
RENUKA,Shree Renuka Sugars Limited,1,250543,-42.3
EMIL,Electronics Mart India Limited,1,171157,-40.2
BEL,Bharat Electronics Limited,1,29526,46.6
KESORAMIND,Kesoram Industries Limited,1,1190,-93.1
MATRIMONY,Matrimony.Com Limited,1,20503,-21.8
GOODLUCK,Goodluck India Limited,1,37764,72.7
MOL,Meghmani Organics Limited,1,5021,-36.7
RHL,Robust Hotels Limited,1,39278,2.7
DLF,DLF Limited,1,117332,-27.4
SYMPHONY,Symphony Limited,1,5709,-31.1
QUESS,Quess Corp Limited,1,1077,-63.3
EDELWEISS,Edelweiss Financial Services Limited,1,1141787,46.1
JKPAPER,JK Paper Limited,1,9161,4.3
NUVAMA,Nuvama Wealth Management Limited,1,7239,83.2
STARCEMENT,Star Cement Limited,1,12850,0.2
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,1,2792111,-10.8
JKTYRE,JK Tyre & Industries Limited,1,17808,-10.5
AMBER,Amber Enterprises India Limited,1,14624,105.4
IRB,IRB Infrastructure Developers Limited,1,24446,-37.6
DABUR,Dabur India Limited,1,4299,-18.6
ERIS,Eris Lifesciences Limited,1,10316,50.2
JINDALSTEL,JINDAL STEEL LIMITED,1,9866,15.4
MARICO,Marico Limited,1,8286,37.6
ASAHIINDIA,Asahi India Glass Limited,1,3402421,47.9
BIRLACORPN,Birla Corporation Limited,1,39229,-27.6
BAJAJ-AUTO,Bajaj Auto Limited,1,223495,21.2
HEG,HEG Limited,1,52511,32.2
BATAINDIA,Bata India Limited,1,26179,-48.2
LAURUSLABS,Laurus Labs Limited,1,24222,202.5
ORTEL,Ortel Communications Limited,1,483582,24.6
SURYALAXMI,Suryalakshmi Cotton Mills Limited,1,298089,-14.8
TAJGVK,Taj GVK Hotels & Resorts Limited,1,2130246,-10.3
