candidate_id,mp_name,party,kind,symbol_or_code,security_name,owner,declared_value,current_value,return_pct
4427,AMIT SHAH,BJP,equity,ELECTCAST,Electrosteel Castings Limited,self,581100,272436,-53.1
4427,AMIT SHAH,BJP,equity,ALEMBICLTD,Alembic Limited,self,274950,252198,-8.3
4427,AMIT SHAH,BJP,equity,LIBERTSHOE,Liberty Shoes Limited,self,310500,249063,-19.8
4427,AMIT SHAH,BJP,equity,GRWRHITECH,Garware Hi-Tech Films Limited,self,68798,236905,244.3
4427,AMIT SHAH,BJP,equity,GFLLIMITED,GFL Limited,spouse,377250,232548,-38.4
4427,AMIT SHAH,BJP,equity,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,self,344609,232507,-32.5
4427,AMIT SHAH,BJP,equity,IOC,Indian Oil Corporation Limited,self,249600,232276,-6.9
4427,AMIT SHAH,BJP,equity,BAJEL,Bajel Projects Limited,self,322326,230142,-28.6
4427,AMIT SHAH,BJP,equity,IFCI,IFCI Limited,self,210000,223902,6.6
4427,AMIT SHAH,BJP,equity,FLAIR,Flair Writing Industries Limited,spouse,201203,196668,-2.3
4427,AMIT SHAH,BJP,equity,ORIENTCER,ORIENT CERATECH LIMITED,self,201000,178750,-11.1
4427,AMIT SHAH,BJP,equity,HINDWAREAP,Hindware Home Innovation Limited,spouse,297150,167445,-43.6
4427,AMIT SHAH,BJP,equity,TTML,Tata Teleservices (Maharashtra) Limited,spouse,266875,150572,-43.6
4427,AMIT SHAH,BJP,equity,HEMIPROP,Hemisphere Properties India Limited,self,199700,144519,-27.6
4427,AMIT SHAH,BJP,equity,GRASIM,Grasim Industries Limited,self,107839,141039,30.8
4427,AMIT SHAH,BJP,equity,WIPRO,Wipro Limited,self,133670,128385,-4.0
4427,AMIT SHAH,BJP,equity,WIPRO,Wipro Limited,spouse,133670,128385,-4.0
4427,AMIT SHAH,BJP,equity,PETRONET,Petronet LNG Limited,self,122000,121454,-0.4
4427,AMIT SHAH,BJP,equity,ZENSARTECH,Zensar Technologies Limited,self,147787,119931,-18.8
4427,AMIT SHAH,BJP,equity,PATINTLOG,Patel Integrated Logistics Limited,spouse,207500,119323,-42.5
4427,AMIT SHAH,BJP,equity,UCOBANK,UCO Bank,self,265750,116827,-56.0
4427,AMIT SHAH,BJP,equity,ARVSMART,Arvind SmartSpaces Limited,self,114992,114742,-0.2
4427,AMIT SHAH,BJP,equity,ELGIRUBCO,Elgi Rubber Company Limited,self,174650,105035,-39.9
4427,AMIT SHAH,BJP,equity,ARVSMART,Arvind SmartSpaces Limited,spouse,98565,98351,-0.2
4427,AMIT SHAH,BJP,equity,DHANBANK,Dhanlaxmi Bank Limited,self,117527,96375,-18.0
4427,AMIT SHAH,BJP,equity,CRAFTSMAN,Craftsman Automation Limited,spouse,43234,88292,104.2
4427,AMIT SHAH,BJP,equity,RPOWER,Reliance Power Limited,self,79556,86220,8.4
4427,AMIT SHAH,BJP,equity,CENTENKA,Century Enka Limited,self,90709,81738,-9.9
4427,AMIT SHAH,BJP,equity,HAL,Hindustan Aeronautics Limited,spouse,87102,78193,-10.2
4427,AMIT SHAH,BJP,equity,GRAPHITE,Graphite India Limited,self,47344,64463,36.2
4427,AMIT SHAH,BJP,equity,IDEA,Vodafone Idea Limited,self,65750,62993,-4.2
4427,AMIT SHAH,BJP,equity,COCHINSHIP,Cochin Shipyard Limited,spouse,63417,51690,-18.5
4427,AMIT SHAH,BJP,equity,RTNPOWER,RattanIndia Power Limited,self,85500,47077,-44.9
4427,AMIT SHAH,BJP,equity,UCOBANK,UCO Bank,spouse,106300,46731,-56.0
4427,AMIT SHAH,BJP,equity,CENTRALBK,Central Bank of India,self,91950,46304,-49.6
4427,AMIT SHAH,BJP,equity,RTNINDIA,RattanIndia Enterprises Limited,self,102807,45696,-55.6
4427,AMIT SHAH,BJP,equity,SJS,S.J.S. Enterprises Limited,spouse,16397,44622,172.1
4427,AMIT SHAH,BJP,equity,RALLIS,Rallis India Limited,self,40942,40757,-0.5
4427,AMIT SHAH,BJP,equity,MAXESTATES,Max Estates Limited,self,29940,35184,17.5
4427,AMIT SHAH,BJP,equity,SIGNPOST,Signpost India Limited,self,32240,34772,7.9
4427,AMIT SHAH,BJP,equity,HCL-INSYS,HCL Infosystems Limited,self,47125,31257,-33.7
4427,AMIT SHAH,BJP,equity,IOB,Indian Overseas Bank,self,61750,29257,-52.6
4427,AMIT SHAH,BJP,equity,JIOFIN,Jio Financial Services Limited,spouse,41453,27913,-32.7
4427,AMIT SHAH,BJP,equity,ABSLAMC,Aditya Birla Sun Life AMC Limited,spouse,9984,19934,99.7
4427,AMIT SHAH,BJP,equity,HPL,HPL Electric & Power Limited,spouse,21920,19917,-9.1
4427,AMIT SHAH,BJP,equity,ROLEXRINGS,Rolex Rings Limited,spouse,29340,17427,-40.6
4427,AMIT SHAH,BJP,equity,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,self,44220,16808,-62.0
4427,AMIT SHAH,BJP,equity,OAL,Oriental Aromatics Limited,self,19572,16488,-15.8
4427,AMIT SHAH,BJP,equity,UBL,United Breweries Limited,self,20000,14303,-28.5
4427,AMIT SHAH,BJP,equity,RSWM,RSWM Limited,self,15008,14177,-5.5
4427,AMIT SHAH,BJP,equity,BHARTIARTL,Bharti Airtel Limited,self,9796,13609,38.9
4427,AMIT SHAH,BJP,equity,MAXIND,Max India Limited,self,22285,12692,-43.0
4427,AMIT SHAH,BJP,equity,MCLEODRUSS,Mcleod Russel India Limited,self,4343,12315,183.6
4427,AMIT SHAH,BJP,equity,SBICARD,SBI Cards and Payment Services Limited,spouse,13706,12113,-11.6
4427,AMIT SHAH,BJP,equity,RAJRILTD,Raj Rayon Industries Limited,self,11375,10476,-7.9
4427,AMIT SHAH,BJP,equity,HINDALCO,Hindalco Industries Limited,self,6127,10032,63.7
4427,AMIT SHAH,BJP,equity,DISHTV,Dish TV India Limited,self,44375,9718,-78.1
4427,AMIT SHAH,BJP,equity,KECL,Kirloskar Electric Company Limited,self,14000,8989,-35.8
4427,AMIT SHAH,BJP,equity,PARSVNATH,Parsvnath Developers Limited,self,26900,8960,-66.7
4427,AMIT SHAH,BJP,equity,AROGRANITE,Aro Granite Industries Limited,spouse,16883,8116,-51.9
4427,AMIT SHAH,BJP,equity,BANDHANBNK,Bandhan Bank Limited,spouse,7038,7326,4.1
4427,AMIT SHAH,BJP,equity,INDIANCARD,Indian Card Clothing Company Limited,spouse,7933,6228,-21.5
4427,AMIT SHAH,BJP,equity,SUPERSPIN,Super Spinning Mills Limited,spouse,7380,5286,-28.4
4427,AMIT SHAH,BJP,equity,3IINFOLTD,3i Infotech Limited,self,8010,3740,-53.3
4427,AMIT SHAH,BJP,equity,IMFA,Indian Metals & Ferro Alloys Limited,self,1315,2733,107.8
4427,AMIT SHAH,BJP,equity,RCOM,Reliance Communications Limited,self,3329,1856,-44.2
4427,AMIT SHAH,BJP,equity,RCOM,Reliance Communications Limited,spouse,3300,1840,-44.2
4427,AMIT SHAH,BJP,equity,RELIANCE,Reliance Industries Limited,spouse,1247,1175,-5.8
