amfi_code,scheme_name,n_mps,agg_current_value,fund_return_pct
133805,Kotak Low Duration Fund- Regular Plan-Growth Option,1,26876367,13.1
101893,Kotak Money Market Fund - (Growth),1,2357861,14.0
101228,ICICI Prudential Multicap Fund - Growth,1,97627,16.2
147213,Franklin India Overnight fund- Growth,1,85429,11.9
114239,ICICI Prudential Credit Risk Fund - Growth,1,6713643,16.5
102594,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Growth,1,16746981,11.2
109522,JM Flexicap Fund (Regular) - Growth option,1,21537900,-4.1
101232,Franklin India Short-Term Income Plan-Growth,1,28850,192.1
105460,Invesco India Contra Fund - Regular Plan - Growth,1,5998008,6.0
103504,SBI Large Cap FUND-REGULAR PLAN GROWTH,1,136814,8.1
103098,UTI Value Fund - Regular Plan - Growth Option,1,459815,7.4
102272,SBI NIFTY INDEX FUND - REGULAR PLAN - GROWTH,1,754417,3.1
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,1,3345248,11.7
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,1,128289,6.5
149795,TRUST MF OVERNIGHT FUND-REGULAR-GROWTH,1,3262780,11.8
104636,Invesco India ELSS Tax Saver Fund - Regular Plan - Growth,1,450772,1.8
149896,Axis Nifty Smallcap 50 Index Fund - Regular Plan - Growth Option,1,429878,10.3
104637,Nippon India Focused Fund -Growth Plan -Growth Option,1,198336,9.0
147936,BANK OF INDIA Overnight Fund Regular Plan Growth,1,168695,12.4
146682,Axis Overnight Fund - Regular Plan - Daily IDCW,1,106157,0.0
145830,NIPPON INDIA OVERNIGHT FUND - DAILY IDCW Option,1,106388,0.0
151973,LIC MF Gold ETF Fund of Fund-Regular Plan-Growth,1,144091,113.1
149182,Kotak Multicap Fund-Regular Plan-Growth,1,171593,10.2
148409,HSBC Focused Fund - Regular Growth,1,64846,12.5
100651,UTI Large Cap Fund - Regular Plan - Growth Option,1,72228,2.2
113070,HDFC Corporate Bond Fund - Growth Option,1,7757987,12.5
102053,SBI MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,1,5225087,13.5
